price,carpet_area,facing,bedrooms,bathrooms,balcony,furnish_type,prop_type,city,Store Room,ageing,location_area,luxury_category,floor_category
3.48,833.0,East,2.0,2.0,1.0,Furnished,Flat,Mumbai,0,Relatively New,Kandivali,Medium,Mid Floor
8.25,1240.0,East,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Khar,Medium,High Floor
4.75,1093.0,West,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Borivali,Medium,High Floor
3.48,870.0,West,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Malad,Medium,High Floor
2.21,631.0,East,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Kandivali,Medium,High Floor
3.15,968.0,South-East,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Goregaon,High,High Floor
1.1,725.14,Missing,2.0,2.0,2.0,Unfurnished,Flat,Navi Mumbai,0,New,Ulwe,Medium,Mid Floor
2.15,658.0,North-East,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Goregaon,Medium,Mid Floor
4.95,1093.0,West,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Borivali,Medium,High Floor
5.21,1095.0,East,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Borivali,Medium,High Floor
3.66,1091.0,West,3.0,3.0,1.0,Unfurnished,Flat,Mumbai,0,Relatively New,Kandivali,Medium,Mid Floor
1.66,650.0,East,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively Old,Kandivali,Medium,Mid Floor
7.1,1332.0,East,4.0,4.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Borivali,Medium,High Floor
5.1,1093.0,East,3.0,3.0,1.0,Semifurnished,Flat,Mumbai,0,Relatively New,Borivali,Medium,High Floor
5.32,1093.0,East,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Borivali,Medium,High Floor
1.9,700.0,East,2.0,2.0,3.0,Semifurnished,Flat,Mumbai,0,Relatively New,Thane,Medium,High Floor
5.1,1095.0,West,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Borivali,High,High Floor
3.36,1088.0,South-East,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Goregaon,High,High Floor
5.05,1132.0,West,3.0,3.0,1.0,Semifurnished,Flat,Mumbai,0,Relatively New,Borivali,High,Low Floor
6.8,1332.0,East,4.0,4.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Borivali,High,Mid Floor
4.85,1201.0,South-West,3.0,3.0,1.0,Furnished,Flat,Mumbai,0,Relatively New,Borivali,Medium,High Floor
2.98,901.0,West,2.0,2.0,1.0,Unfurnished,Flat,Mumbai,0,Relatively New,Borivali,Medium,High Floor
2.43,763.0,East,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Kandivali,Medium,High Floor
3.85,674.0,East,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,New,Santacruz,Medium,Mid Floor
10.5,1613.0,West,4.0,4.0,1.0,Semifurnished,Flat,Mumbai,0,New,Santacruz,Low,Mid Floor
6.03,1004.0,West,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,New,Santacruz,Low,Mid Floor
7.1,1160.0,West,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Khar,Low,Mid Floor
1.95,760.0,East,2.0,2.0,0.0,Semifurnished,Flat,Thane,0,Relatively Old,Thane,Medium,Mid Floor
2.05,700.0,North,2.0,2.0,1.0,Unfurnished,Flat,Mumbai,0,Relatively New,Kandivali,High,High Floor
5.25,970.0,North,3.0,3.0,0.0,Furnished,Flat,Mumbai,1,Relatively Old,Santacruz,Medium,Low Floor
4.5,760.0,West,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,New,Khar,Medium,Mid Floor
2.35,632.0,West,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,New,Bandra,Medium,High Floor
2.3,586.0,East,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,New,Bandra,Medium,High Floor
1.15,452.0,North-West,1.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Malad,High,High Floor
6.2,1005.0,West,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,New,Dadar,Low,Mid Floor
5.0,810.0,West,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,New,Dadar,Low,Mid Floor
4.8,887.0,West,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,New,Santacruz,Low,Mid Floor
7.5,1466.0,West,3.0,4.0,1.0,Unfurnished,Flat,Mumbai,0,Under Construction,Dadar,Medium,High Floor
5.9,1072.0,West,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,New,Santacruz,Low,Mid Floor
1.45,464.0,Missing,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,New,Thane,Medium,Mid Floor
2.27,644.0,East,2.0,2.0,3.0,Semifurnished,Flat,Mumbai,0,New,Kandivali,Low,High Floor
4.2,730.0,South-West,2.0,2.0,1.0,Semifurnished,Flat,Mumbai,0,Old,Santacruz,Medium,Mid Floor
1.5,605.0,North-East,2.0,2.0,1.0,Semifurnished,Flat,Mumbai,0,Relatively New,Others,Medium,Mid Floor
1.0,375.0,Missing,1.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Under Construction,Malad,Medium,High Floor
4.39,1025.0,North-East,3.0,2.0,1.0,Semifurnished,Flat,Mumbai,0,New,Vile Parle,Medium,High Floor
1.55,670.0,East,2.0,2.0,0.0,Furnished,Flat,Mumbai,0,Relatively Old,Vikhroli,Low,Mid Floor
2.05,697.0,East,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Andheri,Low,High Floor
6.75,2150.0,North,4.0,4.0,3.0,Furnished,Flat,Mumbai,1,Old,Borivali,Medium,Mid Floor
0.66,500.0,East,1.0,1.0,0.0,Semifurnished,Flat,Mumbai,0,Old,Others,Medium,Mid Floor
3.73,1129.0,East,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively Old,Chembur,Low,Mid Floor
3.25,780.0,North-West,3.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively Old,Chembur,Low,Mid Floor
1.1,385.0,South-East,1.0,1.0,0.0,Unfurnished,Flat,Mumbai,0,Old,Thane,Medium,Mid Floor
1.65,547.0,Missing,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,New,Kanjurmarg,Low,Mid Floor
1.6,475.14,Missing,2.0,2.0,3.0,Unfurnished,Flat,Mumbai,0,Relatively Old,Kandivali,Low,Low Floor
2.4,760.0,West,2.0,2.0,1.0,Unfurnished,Flat,Mumbai,0,Relatively Old,Chembur,Medium,Mid Floor
2.41,718.0,East,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively Old,Ghatkopar,Low,Mid Floor
1.85,612.0,Missing,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,Old,Thane,Low,Low Floor
2.35,700.0,East,2.0,2.0,0.0,Furnished,Flat,Mumbai,1,Old,Wadala,Medium,Mid Floor
2.1,780.0,East,2.0,2.0,1.0,Furnished,Flat,Mumbai,0,Old,Thane,Medium,Mid Floor
1.79,712.0,Missing,2.0,2.0,0.0,Furnished,Flat,Mumbai,0,Relatively Old,Andheri,Low,Mid Floor
1.65,873.0,East,2.0,2.0,1.0,Semifurnished,Flat,Mumbai,0,Old,Thane,Medium,Low Floor
2.35,750.0,East,2.0,2.0,1.0,Semifurnished,Flat,Mumbai,0,Old,Thane,Medium,Mid Floor
1.07,450.0,East,1.0,2.0,2.0,Unfurnished,Flat,Mumbai,0,Relatively Old,Goregaon,Medium,Low Floor
1.5,435.0,East,1.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Powai,Medium,Mid Floor
2.5,750.0,East,2.0,2.0,1.0,Semifurnished,Flat,Mumbai,0,Relatively Old,Powai,Medium,Mid Floor
1.1,400.0,West,1.0,1.0,0.0,Furnished,Flat,Mumbai,0,Old,Powai,Medium,Mid Floor
1.6,610.0,East,2.0,2.0,1.0,Furnished,Flat,Mumbai,0,Old,Thane,Medium,Low Floor
3.56,777.0,North-East,2.0,2.0,1.0,Semifurnished,Flat,Mumbai,1,Relatively New,Powai,Medium,High Floor
5.25,1001.38,West,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Old,Powai,Medium,Mid Floor
1.6,589.0,West,1.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Ghatkopar,Medium,Mid Floor
2.32,858.0,West,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Mulund,Medium,Mid Floor
3.1,1000.0,East,3.0,3.0,2.0,Unfurnished,Flat,Mumbai,0,Relatively New,Chembur,Medium,Low Floor
2.35,715.0,East,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,New,Ghatkopar,High,Mid Floor
6.49,1422.0,East,5.0,4.0,0.0,Furnished,Flat,Mumbai,0,Relatively Old,Thane,Low,High Floor
7.65,1200.0,East,3.0,3.0,3.0,Unfurnished,Flat,Mumbai,0,Relatively New,Parel,Medium,High Floor
2.8,830.0,East,2.0,2.0,1.0,Unfurnished,Flat,Mumbai,0,Relatively Old,Chembur,Medium,Mid Floor
1.1,412.0,East,1.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively Old,Kandivali,Low,Low Floor
4.11,1000.0,North-East,3.0,3.0,2.0,Unfurnished,Flat,Navi Mumbai,0,Relatively Old,Others,Medium,Mid Floor
0.89,292.81,East,1.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,New,Malad,Low,High Floor
1.89,667.0,Missing,2.0,2.0,1.0,Unfurnished,Flat,Mumbai,0,New,Chembur,Medium,Low Floor
1.32,438.54,East,1.0,2.0,2.0,Semifurnished,Flat,Mumbai,0,Old,Others,Medium,Mid Floor
3.75,850.0,North-East,2.0,2.0,1.0,Semifurnished,Flat,Mumbai,0,Relatively Old,Parel,Low,Mid Floor
2.85,700.0,East,2.0,3.0,0.0,Furnished,Flat,Mumbai,0,Old,Thane,Low,Low Floor
0.63,315.0,East,1.0,1.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Santacruz,Low,Mid Floor
0.9,435.0,Missing,1.0,1.0,0.0,Semifurnished,Flat,Mumbai,0,Old,Mulund,Low,Mid Floor
3.0,1600.0,Missing,3.0,3.0,0.0,Furnished,House,Mumbai,0,Old,Mumbai,Low,Low Floor
0.46,513.0,North-East,1.0,1.0,0.0,Unfurnished,Flat,Navi Mumbai,0,New,Ulwe,Medium,Mid Floor
