property_name,link,location,price,price_per_sqft,super_built_up_area,carpet_area,builtup_area,description,facing,highlights,features_list,property_id,ownership,gated_community,bedrooms,bathrooms,balcony,others,floor,overlooking,age,furnish_type,nearby_locations_list,rating,rating_details,furnish_details_list,features
"Kharghar, Navi Mumbai",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-kharghar-navi-mumbai-2400-sq-ft-spid-J81846616,"5 Bedroom House for sale in Kharghar, Navi Mumbai",₹1.8 Cr,"₹7,500 /sqft",,,2400.0,"Are you planning to buy your dream home? You can consider this well-Built 5 bhk house for sale in kharghar, navi mumbai and make it your new address. The house has over built up area of 2400 sq.Ft. And comes with 5 bedrooms, 1 bathroom . This is a ready to move house, which is 0-1 year old. The ownership right of this property is freehold. This spacious house can be all yours at an attractive p...",,[],[],J81846616,Freehold,,5 Bedrooms,1 Bathroom,No Balcony,,1 Floors,,0 to 1 Year Old,Semifurnished,"['Ganpati Mandir', 'Shiv Mandir Kharghar', 'Hanuman & Sani Temple', 'Hdfc ATM', ""Saanvi Children's Hospital"", 'Gayatri Gynac Clinic', ""Children's Hospital"", 'Kalpataru Hospital & Maternity Clinic', 'Polaris Hospital', 'Shree Childrens Hospital', 'Anjani Maternity and Nursing Home', 'Suman Kanta Hospital', 'Sanjeevan Hospital Raigarh', 'Ek Omkar Healthcare Centre', 'Sabka Dentist', ""Riddhi Children's Hospital and Dental Clinic"", 'Shree Sai Multispeciality Hospital', 'Dr. Nitin Amale Hospital', ""Deshpande Children's Hospital"", ""Raghunath Children's Clinic"", 'Sukrut Maternity Clinic', 'Pooja Eye Clinic', 'Ashwini General Hospital', 'Medicity Hospital', 'Niramaya Hospital Raigarh', 'YUVA Centre', 'Indian Oil Petrol Pump', 'State bank of india', 'State bank of mysore', 'Bank of baroda', 'Uco bank', 'Bank of india', 'Pmc bank', 'Canara bank', 'Bank of india', 'Hdfc bank', 'State bank of india', 'Axis bank', 'alpha quick bites fast food', 'Hotel Tulsi', 'Army Canteen', 'Hotel Basera', 'Ambika Palace', 'Runway Plaza', ""Smokin' Joe's Pizza"", 'Pranam Hotel', 'Barista', ""Domino's"", 'Cafe Cofee Day', 'DAV International School Kharghar']",4.3,"{'Connectivity': 4.2, 'Lifestyle': 4.4, 'Safety': 4.2, 'Green Area': 4.2}","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[]
On Request,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-kharghar-navi-mumbai-100-sq-ft-r7-spid-K74308661,"4 Bedroom House for sale in Kharghar, Navi Mumbai",₹2.5 Cr,"₹250,000 /sqft",,,,"We have a house/villa available for sale in kharghar, mumbai navi. Available at price of rs 2.5 crores. It has plot area of 100 sq m. 2400 ft., built-Up it has 6 bhk, 5 bathroom, 0 balcony.It is a freehold property it is near metro station. It can be used for commercial as well as residential. It's a prime area of kharghar.",East,['+1'],[],K74308661,Freehold,Yes,4 Bedrooms,4 Bathrooms,1 Balcony,Study Room,3 Floors,,5 to 10 Year Old,Semifurnished,"['Ganpati Mandir', 'Shiv Mandir Kharghar', 'Hanuman & Sani Temple', 'Ganesh Temple', 'Hdfc ATM', 'Dr. Nitin Amale Hospital', 'Suman Kanta Hospital', ""Raghunath Children's Clinic"", 'Sabka Dentist', 'Polaris Hospital', 'Gayatri Gynac Clinic', 'Kalpataru Hospital & Maternity Clinic', 'Pooja Eye Clinic', ""Children's Hospital"", ""Saanvi Children's Hospital"", 'Shree Sai Multispeciality Hospital', 'Shree Childrens Hospital', 'Anjani Maternity and Nursing Home', 'Sanjeevan Hospital Raigarh', 'Ek Omkar Healthcare Centre', ""Riddhi Children's Hospital and Dental Clinic"", ""Deshpande Children's Hospital"", 'Sukrut Maternity Clinic', 'Ashwini General Hospital', 'Medicity Hospital', 'Al Shifa Multi Speciality Hospital', 'YUVA Centre', 'Indian Oil Petrol Pump', 'Bank of india', 'Bank of baroda', 'State bank of mysore', 'State bank of india', 'Uco bank', 'Bank of india', 'Pmc bank', 'State bank of india', 'Canara bank', 'Hdfc bank', ""Smokin' Joe's Pizza"", 'Hotel Tulsi', 'alpha quick bites fast food', 'Army Canteen', 'Hotel Basera', 'Ambika Palace', 'Runway Plaza', 'Pranam Hotel', 'Barista', ""Domino's"", 'Nice Moment Family Restaurant', 'DAV International School Kharghar']",4.3,"{'Connectivity': 4.2, 'Lifestyle': 4.4, 'Safety': 4.2, 'Green Area': 4.2}","['3 Wardrobe', '3 Geyser', '7 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Park', 'Bank Attached Property', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Park', 'Bank Attached Property', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']"
rajiv gandhi nagar,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-bhiwandi-mumbai-beyond-thane-520-sq-ft-spid-B81828064,"1 Bedroom House for sale in Bhiwandi, Thane",₹25 Lac,"₹4,807 /sqft",,,,"I am looking for buyer to purchase house/villa available for sale in bhiwandi, thane outskirts. Available at price of rs 2500000. It has plot area of 520 sq ft. It has 1 rk, 10 bathroom, 1 balcony.It is a freehold property",,[],[],B81828064,Freehold,,1 Bedroom,1 Bathroom,1 Balcony,,1 Floors,,5 to 10 Year Old,,"['MEETESH CHOUDHARI HOUSE NEAR AGNIMATA TEMPLE TEMGHAR', 'Shushrusha Hospital Thane', 'Lotus Hospital', 'Guru Krupa Hospital and Polyclinic', 'Sharada Netralaya', 'Yash Nursing Home Airoli', 'Vision Tec Advanced Eye Care Centre', 'Mehar Hospital and Iccu', 'Dr Anushka Laser Eye Centre', 'Al-Moin Nursing Home', 'Dr Waghmares Life Line Hospital and Iccu', 'Soham Hospital', 'Fuel', 'Bhivandi road railway station']",3.9,"{'Connectivity': 4.0, 'Lifestyle': 3.9, 'Safety': 3.8, 'Green Area': 3.4}",[],[]
"Panvel, Navi Mumbai",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-panvel-navi-mumbai-1300-sq-ft-spid-A81820948,"4 Bedroom House for sale in Panvel, Navi Mumbai",₹95 Lac,"₹7,308 /sqft",,,1300.0,"Do you wish to buy an independent house in panvel, navi mumbai. This 4 bhk house looks like an ideal choice for somebody looking for peace of mind. Constructed on a built up area of 1300 sq.Ft., this house comprises 4 bedrooms, 4 bathrooms . This 0-1 year old property is available for immediate possession as the house is ready to move. It is a freehold property. The property is available for sa...",,[],[],A81820948,Freehold,,4 Bedrooms,4 Bathrooms,No Balcony,,1 Floors,,undefined,Semifurnished,[],4.3,"{'Connectivity': 4.3, 'Lifestyle': 4.2, 'Safety': 4.2, 'Green Area': 4.1}","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[]
PropZone Panvel Navi Mumbai Plots,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-propzone-panvel-navi-mumbai-plots-panvel-navi-mumbai-1000-sq-ft-r1-spid-Q78636677,"3 Bedroom House for sale in Panvel, Navi Mumbai",₹50 Lac,"₹5,000 /sqft",,,,"Looking for buyer to purchase our house/villa available for sale in panvel, mumbai. Available at price of rs 50 lacs. It has plot area of 1000 sq ft. It has 3 bhk, 3 bathroom, balcony.It is a freehold property",,[],[],Q78636677,Freehold,,3 Bedrooms,3 Bathrooms,No Balcony,,3 Floors,,1 to 5 Year Old,,"[""St George's Syro Catholic Malabar Church"", 'Hdfc bank ATM', 'Birmole Hospital', 'Prachin Healthcare', ""Dr. Patil's Hospital"", 'Sahasrabudhe Hospital and I.C.C.U', ""Dr. Oza's Hospital"", 'Dr. Kale Hospital', ""Dr. Nadkarni Children's Hospital"", 'Rural Hospital', 'Shri Swami Samarth Hospital', 'Sudha Shankar Netralaya', 'Dr Ghodkes Sanjay Clinic', 'Dandekar Clinic', 'Mhatre Accident Hospital', 'Dhamke Hospital', 'Siddhivinayak Hospital', 'Prism Eye Institute and Reseach Centre', 'Life Line Hospital', 'Gune Hospital', 'Ghanate Hospital', 'Priyanka Eye Clinic', 'Dr.Prabhakar Patwardhan Smruti Rugnalaya', 'Thombare Hospital', 'Hande Hospital', 'Aashirwad Ent Clinic', 'Neel Clinic', 'Krishna Nursing Home Thane', 'Sulochan Eye Clinic', 'Padalkar Hospital & SICU', 'Sai Child Care Clinic', 'Mother and Child Care Clinic', 'Dr. Khandekar Accident Clinic', 'Patel Clinic', 'Neo Clinic', 'Kulkarni Nursing Home Raigarh', ""Nair's Eye Clinic"", 'Bharat Petroleum', 'Hdfc bank', 'Idbi bank', 'Federal bank', 'Icici bank', 'Union bank', 'Bank of india', 'Punjab national bank', 'Axis bank', 'Siciliano', 'Watermelon stalls', 'Barns Galaxy College of Old', 'Maha e seva kendra']",4.3,"{'Connectivity': 4.3, 'Lifestyle': 4.2, 'Safety': 4.2, 'Green Area': 4.1}",[],[]
individual house ground plus 1,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-thane-west-mumbai-350-sq-ft-r1-spid-O78625191,1 Bedroom House for sale in Thane West,₹24 Lac,"₹8,000 /sqft",,270.0,,"Looking for buyer to purchase our house/villa available for sale in thane west, mumbai. Available at price of rs 24 lacs. It has plot area of 350 sq ft. It has 1 bhk, 2 bathroom, 1 balcony.It is a freehold property",East,[],[],O78625191,Freehold,,1 Bedroom,2 Bathrooms,1 Balcony,,2 Floors,"Park/Garden,Main Road",0 to 1 Year Old,Unfurnished,"['Nandibaba temple', 'nilkanteshwar mandir', 'State bank of india ATM', 'Icici bank ATM', 'Shri Gajanan Netralaya', 'Highland Speciality Hospital', 'Dr Walvatkars Eye Care Center', 'Dr Jyotsna Jagtaps Ent Hospital and Hearing Aid Centre', 'Navjeewan Hospital', 'Smiles Unlimited Dental Clinic', 'Care and Cure Clinic', ""Dr. Ravi's Clinic Nursing Home and New Born Centre"", 'Aditya Orthopedic Hospital', 'Sparsh Maternity and Nursing Home', 'Sai Ashutosh Hospital', 'Shree Eye Hospital', 'The Origin International Fertility Centre', 'Infinity Medisurge Centre Speciality Hospital', 'Dentales', 'Wellness Forever 24Hrs open', 'Kailash', 'Cinemax -WonderMall', 'CinemaStar', 'State bank of india', 'Yes bank', 'Tjsb sahakari bank', 'Standard chartered bank', 'Kotak mahindra bank', 'Union bank of india', 'New india bank', ""Domino's"", 'The KKP Restaurant', ""De'Crepes Cafe"", 'Veg Sizzlers', ""Chap's Tasty Chinese"", 'Biryani Binge', 'SD Foods', 'Ajay Tandoor Corner', 'China Bristo', 'The Kitchen', 'Sai Vihar Family Restaurant & Bar', 'Riviera', 'Katty Rolls', 'Yello', 'RB Rolls', 'Shwarmaji', 'Shahi Kolkata Roll', 'Food For Foodies', 'anmol vidhya mandir school', 'Raunak Group']",4.3,"{'Connectivity': 4.3, 'Lifestyle': 4.3, 'Safety': 4.2, 'Green Area': 4.1}",[],"['Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']"
Dwarkamai Soc. Bharat nagar,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-tagore-nagar-central-mumbai-suburbs-500-sq-ft-spid-A83111428,"1 Bedroom House for sale in Tagore Nagar, Vikhroli East",₹43 Lac,"₹8,600 /sqft",,,,"Wel furnished, fully tiled, fals ceiling , 2 nonos. Toilate, 2 bathroom , 2 ac, 2 electric metre, outer access, 5 minut fro station",,[],[],A83111428,Freehold,,1 Bedroom,2 Bathrooms,No Balcony,,2 Floors,,10+ Year Old,,"['Brand Factory Vikhroli', 'Infant Jesus Church', 'Sai Baba Mandir', 'aksherdham temple', 'Durga Mandir', 'Shiv Mandir', 'St.Francis Xaviers Church', 'Axis bank ATM', 'Ruby Hospital', 'Atul - Lok Hospital', 'Yashwant Hospital Mumbai', 'Priya Maternity Home', 'Shakuntala Nursing Home', 'Modi General Hospital and Iccu', 'Sai Hospital Mumbai', 'Laxmi Health Care Center and Iccu', 'Dr. Gujar and Doctor Pandey', 'Shushrusha Hospital', 'Krantiveer Mahatma Jyotiba Phule Hospital Vikhroli', 'CGHS Dispensary No. Vikhroli', 'Samarth Hospital Mumbai', 'Aniket Nursing Home', 'Anket Nursing Home', 'Ankur Maternity and Surgical Nursing Home', 'Nihal Nursing Home & Opthalmologist', 'Healthcare clinic Dr. F. A. Siddiqui', ""Dr. Jadhav's Dental clinic"", 'Sri Sai Eye Care Centre', 'Sagar Medical store', 'Jhonson Medical', 'Vikhroli E Bus Depot', 'Jankalyan sahakari bank', 'State bank of india', 'Mutual fund bank', 'Hdfc bank', 'Union bank', 'Mega restaraunt', 'Bharang Hotel', 'Vatavaran take away', 'Kebab and Biryani Station', 'Orchids The International School', 'Guru Gobind English High School', 'Municipalty School', 'Raj computer academy', 'Madarsa Tajweedul Islam', 'accountant academy', 'edukidz INTERNATIONAL', 'Vikhroli railway station', 'Vikhroli railway station', 'Kanjurmarg railway station']",4.0,"{'Connectivity': 4.0, 'Lifestyle': 4.0, 'Safety': 3.9, 'Green Area': 4.0}",[],[]
Our Town Whispering Woods,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-our-town-whispering-woods-shahapur-mumbai-beyond-thane-2850-sq-ft-r1-spid-Q78620677,"3 Bedroom House for sale in Shahapur, Thane",₹75 Lac,"₹2,631 /sqft",,,,"I have a house/villa available for sale in khardi, mumbai thane. Available at price of rs 75 lacs. It has plot area of 2850 sq ft. It has 3 bhk, 3 bathroom, 1 balcony.It is a freehold property",,[],[],Q78620677,Freehold,,3 Bedrooms,3 Bathrooms,1 Balcony,,3 Floors,,5 to 10 Year Old,,"['Dr.Imran Shaikh', 'Dr.Sapate', 'Dr.Kale', 'Dr.Kharde', 'Dr.Patil', 'Canara bank', 'Hotel Citizen', 'Hotel Hill Top', 'Khardi railway station']",4.0,"{'Connectivity': 4.1, 'Lifestyle': 3.9, 'Safety': 3.9, 'Green Area': 4.1}",[],"['Private Garden / Terrace', 'Visitor Parking', 'Security Personnel', 'Private Garden / Terrace', 'Visitor Parking', 'Security Personnel']"
"Vasai West, Mumbai, Beyond Mira Road",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-vasai-west-mumbai-7500-sq-ft-spid-Z81795548,"2 Bedroom House for sale in Vasai West, Mumbai",₹5 Cr,"₹6,666 /sqft",,,7500.0,"On the lookout for a spacious house in beyond mira road? Go for this 2 bhk house for sale in vasai west, a well-Connected locality within beyond mira road. This house occupies a built up area of 7500 sq.Ft. And contains 2 bedrooms, 2 bathrooms . This is a ready to move house, which is 0-1 year old. The ownership right of this property is freehold. The price of this spacious independent house is...",East,[],[],Z81795548,Freehold,,2 Bedrooms,2 Bathrooms,No Balcony,,2 Floors,,undefined,Furnished,[],4.1,"{'Connectivity': 4.1, 'Lifestyle': 4.0, 'Safety': 4.2, 'Green Area': 4.3}","['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[]
"Cidco Colony, Airoli, Navi Mumbai",https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-cidco-colony-navi-mumbai-410-sq-ft-r1-spid-U78587987,"1 Bedroom House for sale in Cidco Colony, Airoli",₹68 Lac,"₹16,585 /sqft",,410.0,,Prime location in airoli sec3 railway station nmnc office nmnc hospital busstop school college market,North,[],[],U78587987,Co-operative Society,,1 Bedroom,2 Bathrooms,1 Balcony,,2 Floors,,10+ Year Old,,"['Jai Bhawani Dainandin Bazaar', 'Jama Masjid', 'Visheshwar Mandir', 'Sankat Mochak Hanuman Mandir', 'Icici ATM', 'NMMC MCH', 'Indravati Hospital', 'Shree Eye Clinic', 'Sanjivni Hospital Thane', 'Sai Seva Hospital and Icu Mumbai', 'Avadhoot Hospital and Iccu', 'Mody Hospital Iccu', 'Aayush Multispeciality Hospital', 'Suruchi Eye Centre', 'Disha Hospital', 'Gandhi Hospital - Navi Mumbai', 'Asha Hospital and Iccu', ""Dr. Doke's Shraddha Hospital"", 'Criti Care Iccu Multispeciality and Trauma Centre', 'Jasmine Hospital And Wow Clinic', 'National Burns Center', 'KRYPTON Heritage Health Care', 'Parulekar Hospital', 'NMMC Hospitals', 'Dr.Mahajan Hospital and Industrial Trauma Center', 'Dr Manes Gawali Hospital', 'Sigma IT Park', 'Gigaplex IT Park', 'Airoli Bus Depot', 'Chai Tales', 'Sainidhi', 'Smt. Sushiladevi Deshmukh Vidyalaya', 'Airoli railway station', 'Digha railway station', 'Rabale railway station', 'Lionbridge Ltd Inc']",4.0,"{'Connectivity': 4.1, 'Lifestyle': 4.0, 'Safety': 4.0, 'Green Area': 3.9}",[],[]
"Bhayandar West, Mira Bhayandar",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-bhayandar-west-mira-bhayandar-750-sq-ft-r2-spid-K74877685,"2 Bedroom House for sale in Bhayandar West, Mira Bhayandar",₹80 Lac,"₹10,666 /sqft",,,,"Very nearby to main market, has derasar jain mandir attached to it, very convenient from station and market, good community around",East,[],[],K74877685,Co-operative Society,Yes,2 Bedrooms,2 Bathrooms,1 Balcony,,3 Floors,Main Road,5 to 10 Year Old,Semifurnished,[],4.2,"{'Connectivity': 4.3, 'Lifestyle': 4.1, 'Safety': 4.3, 'Green Area': 4.1}","['1 Geyser', '1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[]
"Murbad, Thane, Thane Outskirts",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-murbad-mumbai-beyond-thane-1050-sq-ft-spid-P82380412,"4 Bedroom House for sale in Murbad, Thane",₹52 Lac,"₹1,205 /sqft",,1000.0,1050.0,"Private bungalow set in a serene location away from the hustle and bustle, perfect for relaxing weekends.",,[],[],P82380412,Co-operative Society,Yes,4 Bedrooms,4 Bathrooms,No Balcony,Store Room,1 Floors,Main Road,10+ Year Old,Semifurnished,[],3.9,"{'Connectivity': 4.0, 'Lifestyle': 3.7, 'Safety': 4.0, 'Green Area': 4.0}","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Spacious Interiors', 'Private Garden / Terrace', 'Water Storage', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Spacious Interiors']"
"Ulhasnagar, Thane, Thane Outskirts",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-ulhasnagar-mumbai-beyond-thane-1300-sq-ft-r1-spid-Z76439831,"2 Bedroom House for sale in Ulhasnagar, Thane",₹32 Lac,"₹2,461 /sqft",,,,"It is one plus one home with one big hall , 2 bed rooms and 2 balconies. All the necessities are near to the house including railway station. There is no issue related to water and electricity.",West,[],[],Z76439831,Freehold,,2 Bedrooms,1 Bathroom,2 Balconies,,1 Floors,,10+ Year Old,Unfurnished,"['Chaliha sahib sindhi mandir', 'shivala', 'Sai Prasad Maternity and Surgical Home', 'Government hospital ulhasnagar 4', 'Matoshree Hospital', 'Meera Hospital - Ulhasnagar', 'Srushti Nursing Home', 'Girija Nursing Home and General Hospital', 'Madhavbaug Clinic', 'Shree Maternity Hospital', 'Ramraksha Hospital', 'Dhanvantari Hospital', 'Ganesh Hospital', 'Dr. Balanis Sanjeevani Hospital', 'Shivneri Hospital', ""Welcare Ortho Maternity Children's Hospital"", 'Mauli Hospital', 'Meera ENT Hospital', 'Gungeet Hospital and Polyclinic', 'SN Hospital', 'Aashirvad Clinic', 'Bhatia Hospital', 'Satyajit Clinic', 'Surekha Criticare Hospital', 'Shri Balaji Hospital', 'Ahuja Nursing Home', 'Satya Sai Platinum Hospital', 'New Swastik Multi Speciality Hospital', 'Sheva Niketan Hospital', 'Central Hospital Ulhasnagar', 'Shraddha General Hospital and Icu and Stone Centre', 'Saikrupa Hospital', 'Sukhmani Hospital', 'ESIS Hospital Ulhasnagar', 'Chaitanya Nursing Home', 'Gurudeo Maternity and Orthopaedic Home', 'Swami Sarvanand Hospital', 'S S Vaidya Hospital', 'Shree Tisai Hospital', 'Life care Hospital', 'KDMC Kolsewadi Municipal Hospital', 'akka', 'Ankur Nursing Home', 'Amey Multispeciality Clinic', 'Govind Hospital', 'Tomar Nursing Home Thane', 'Abbu Dhabha', 'Amrpali', 'Ulhasnagar railway station', 'Vithalwadi railway station']",4.1,"{'Connectivity': 4.2, 'Lifestyle': 4.0, 'Safety': 4.0, 'Green Area': 3.6}",[],"['No open drainage around', 'Natural Light', 'Airy Rooms', 'No open drainage around', 'Natural Light', 'Airy Rooms']"
L And T West Square,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-l-and-t-west-square-sea-woods-navi-mumbai-500-sq-ft-r1-spid-Q78549529,"2 Bedroom House for sale in Seawoods, Navi Mumbai",₹8 Lac,"₹1,600 /sqft",,,,"Looking for buyer to purchase our house/villa available for sale in kharghar, navi mumbai. Available at price of rs 800000. It has plot area of 500 sqft. It has 2 bhk, 1 bathroom, 1 balcony.It is a freehold property",,[],[],Q78549529,Freehold,,2 Bedrooms,1 Bathroom,1 Balcony,,2 Floors,,By 2025,,"['Nerul Railway Station', 'Nexus Seawoods', 'Mumbai Highway', 'D Y Patil University', ""St. Xavier's High School"", 'D Y Patil Hospital', 'Chhatrapati Shivaji Maharaj Airport', 'International Technology Park', 'The Park Hotels Navi Mumbai', 'NAMCO Biggest Indoor Amusemnt cente', 'Kharghar Valley Golf Course', 'D Y Patil Sports Stadium', 'Karave beach']",4.5,"{'Connectivity': 4.5, 'Lifestyle': 4.6, 'Safety': 4.4, 'Green Area': 4.4}",[],[]
"Vasai West, Mumbai, Beyond Mira Road",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-vasai-west-mumbai-2000-sq-ft-r1-spid-N78552571,"3 Bedroom House for sale in Vasai West, Mumbai",₹1.95 Cr,"₹9,750 /sqft",,,,"Wishing to settle down in an individual house with your family? This well-Built and spacious 3 bhk house for sale in vasai west, beyond mira road seems to be an ideal choice for a peaceful abode for a family. Another plus point for the house is that it is situated near close to school, close to hospital and close to market. Constructed on a super built up area of 2000 sq.Ft., this house compris...",East,[],[],N78552571,Freehold,,3 Bedrooms,4 Bathrooms,2 Balconies,Servant Room,3 Floors,,1 to 5 Year Old,Unfurnished,"['Mr vikas ATM', 'Government Hospital sativli', 'Dr. Waghamare Hospital', 'Platinum Hospitals Pvt Ltd', 'Saliha Hospital', 'Gayatri Hospital', ""Dr Goyal's Children General Hospital""]",4.1,"{'Connectivity': 4.1, 'Lifestyle': 4.0, 'Safety': 4.2, 'Green Area': 4.3}",[],"['Water Storage', 'Natural Light', 'Airy Rooms', 'Water Storage', 'Natural Light', 'Airy Rooms']"
"Vashi, Navi Mumbai",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-vashi-navi-mumbai-3000-sq-ft-spid-T81771332,"5 Bedroom House for sale in Vashi, Navi Mumbai",₹3.5 Cr,"₹11,667 /sqft",,2500.0,3000.0,"Wishing to settle down in an individual house with your family? This well-Built and spacious 5 bhk house for sale in vashi, navi mumbai seems to be an ideal choice for a peaceful abode for a family. Constructed on a built up area of 3000 sq.Ft., this house comprises 5 bedrooms, 5 bathrooms and 1 balcony. Being a ready to move house, you can expect immediate possession of this 1-5 years old prop...",,[],[],T81771332,Freehold,,5 Bedrooms,5 Bathrooms,1 Balcony,,3 Floors,,undefined,Semifurnished,[],4.5,"{'Connectivity': 4.5, 'Lifestyle': 4.5, 'Safety': 4.5, 'Green Area': 4.3}","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[]
"Kharghar, Navi Mumbai",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-kharghar-navi-mumbai-1050-sq-ft-spid-H81771312,"2 Bedroom House for sale in Kharghar, Navi Mumbai",₹1.6 Cr,"₹15,238 /sqft",,,1050.0,"On the lookout for a spacious house in navi mumbai? Go for this 2 bhk house for sale in kharghar, a well-Connected locality within navi mumbai. This house occupies a built up area of 1050 sq.Ft. And contains 2 bedrooms, 2 bathrooms . This is a ready to move house, which is 0-1 year old. The ownership right of this property is freehold. The property is available for sale at a competitive price o...",,[],[],H81771312,Freehold,,2 Bedrooms,2 Bathrooms,No Balcony,,1 Floors,,undefined,Unfurnished,"['Ganpati Mandir', 'Shiv Mandir Kharghar', 'Hanuman & Sani Temple', 'Hdfc ATM', ""Saanvi Children's Hospital"", 'Gayatri Gynac Clinic', ""Children's Hospital"", 'Kalpataru Hospital & Maternity Clinic', 'Polaris Hospital', 'Shree Childrens Hospital', 'Anjani Maternity and Nursing Home', 'Suman Kanta Hospital', 'Sanjeevan Hospital Raigarh', 'Ek Omkar Healthcare Centre', 'Sabka Dentist', ""Riddhi Children's Hospital and Dental Clinic"", 'Shree Sai Multispeciality Hospital', 'Dr. Nitin Amale Hospital', ""Deshpande Children's Hospital"", ""Raghunath Children's Clinic"", 'Sukrut Maternity Clinic', 'Pooja Eye Clinic', 'Ashwini General Hospital', 'Medicity Hospital', 'Niramaya Hospital Raigarh', 'YUVA Centre', 'Indian Oil Petrol Pump', 'State bank of india', 'State bank of mysore', 'Bank of baroda', 'Uco bank', 'Bank of india', 'Pmc bank', 'Canara bank', 'Bank of india', 'Hdfc bank', 'State bank of india', 'Axis bank', 'alpha quick bites fast food', 'Hotel Tulsi', 'Army Canteen', 'Hotel Basera', 'Ambika Palace', 'Runway Plaza', ""Smokin' Joe's Pizza"", 'Pranam Hotel', 'Barista', ""Domino's"", 'Cafe Cofee Day', 'DAV International School Kharghar']",4.3,"{'Connectivity': 4.2, 'Lifestyle': 4.4, 'Safety': 4.2, 'Green Area': 4.2}",[],[]
